ACCIDENT_YEAR,ACCIDENT_MONTH,ACCIDENT_DAY,ACCIDENT_HOUR,ACCIDENT_WEEKDAY,ACCIDENTLOCATION,IMPACTLOCATION,INITIALIMPACTTYPE,LIGHT,ROADJURISDICTION,TRAFFICCONTROL,TRAFFICCONTROLCONDITION,THRULANENO,NORTHBOUNDDISOBEYCOUNT,SOUTHBOUNDDISOBEYCOUNT,PEDESTRIANINVOLVED,CYCLISTINVOLVED,MOTORCYCLISTINVOLVED,ENVIRONMENTCONDITION1,injury
2017,9,29,9,Friday,Intersection related,Thru lane,Rear end,Dawn,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Rain,0
2017,9,29,13,Friday,At intersection,Within intersection,Turning movement,Daylight,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Rain,0
2017,9,29,17,Friday,At intersection,Within intersection,SMV other,Daylight,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,1,0,True,False,False,Clear,1
2017,9,29,13,Friday,Non intersection,Right shoulder,SMV unattended vehicle,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,9,29,18,Friday,Non intersection,Thru lane,Sideswipe,Daylight,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,0
2017,9,30,11,Saturday,Non intersection,Not on roadway - right side,SMV other,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,True,Clear,1
2017,9,30,11,Saturday,Non intersection,Thru lane,Rear end,Daylight,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,0
2017,9,30,17,Saturday,At intersection,Within intersection,Rear end,Daylight,Regional municipality,Stop sign,Functioning,0,0,0,False,False,False,Clear,1
2017,10,1,3,Sunday,Non intersection,Thru lane,Rear end,Dark,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,1,11,Sunday,At/near private drive,Thru lane,Turning movement,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,1
2017,9,30,20,Saturday,Non intersection,Thru lane,Rear end,Dark,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,1,15,Sunday,At/near private drive,Thru lane,Angle,Daylight,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Clear,0
2017,10,1,16,Sunday,Intersection related,Not on roadway - right side,SMV other,Daylight,Municipal (excl. Twp. Rd.),Traffic signal,Functioning,0,0,0,False,False,False,Clear,0
2017,10,2,7,Monday,At intersection,Within intersection,Turning movement,Daylight,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,1,0,False,False,False,Clear,1
2017,9,29,17,Friday,At/near private drive,Thru lane,Turning movement,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,2,14,Monday,At/near private drive,Right shoulder,SMV unattended vehicle,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,2,14,Monday,Intersection related,Thru lane,Rear end,Daylight,Municipal (excl. Twp. Rd.),Traffic signal,Functioning,0,0,0,False,False,False,Clear,1
2017,9,30,16,Saturday,At/near private drive,Thru lane,Other,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,2,18,Monday,At/near private drive,Thru lane,SMV unattended vehicle,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,3,11,Tuesday,At/near private drive,Thru lane,Turning movement,Daylight,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,3,12,Tuesday,At/near private drive,Thru lane,Turning movement,Daylight,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,3,14,Tuesday,At/near private drive,Thru lane,Turning movement,Daylight,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,3,16,Tuesday,Non intersection,Thru lane,Other,Daylight,Municipal (excl. Twp. Rd.),Traffic signal,Functioning,0,0,0,False,False,False,Clear,0
2017,10,4,11,Wednesday,At/near private drive,Thru lane,Turning movement,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Rain,1
2017,9,30,20,Saturday,At/near private drive,Right shoulder,SMV unattended vehicle,"Dark, artificial",Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,4,13,Wednesday,At/near private drive,Not on roadway - right side,SMV other,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,True,False,False,Rain,1
2017,10,4,14,Wednesday,Non intersection,Thru lane,Sideswipe,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,5,15,Thursday,At intersection,Within intersection,SMV other,Daylight,Regional municipality,Traffic signal,Functioning,0,0,0,True,False,False,Clear,1
2017,10,5,10,Thursday,At/near private drive,Thru lane,SMV unattended vehicle,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,5,18,Thursday,Non intersection,Thru lane,Turning movement,Dusk,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,6,8,Friday,Non intersection,Thru lane,SMV unattended vehicle,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,6,9,Friday,Intersection related,Not on roadway - left side,SMV other,Daylight,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Clear,0
2017,10,6,10,Friday,At/near private drive,Thru lane,Other,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,6,14,Friday,At intersection,Within intersection,Turning movement,Daylight,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Clear,0
2017,10,7,0,Saturday,At intersection,Within intersection,Turning movement,Dark,Regional municipality,Traffic signal,Functioning,0,0,0,False,False,False,Rain,0
2017,10,7,10,Saturday,Non intersection,Right shoulder,SMV unattended vehicle,Other,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Other,0
2017,10,7,10,Saturday,Non intersection,Thru lane,Rear end,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,7,4,Saturday,At/near private drive,Right shoulder,SMV unattended vehicle,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,7,16,Saturday,At/near private drive,Right shoulder,SMV unattended vehicle,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,8,12,Sunday,At intersection,Within intersection,Turning movement,Daylight,Regional municipality,Stop sign,Functioning,0,0,0,False,False,False,Clear,0
2017,10,8,23,Sunday,Non intersection,Not on roadway - right side,SMV other,"Dark, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,10,9,Tuesday,At intersection,Within intersection,Turning movement,Daylight,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Clear,0
2017,10,10,8,Tuesday,At/near private drive,Thru lane,Turning movement,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,10,11,Tuesday,Non intersection,Thru lane,Rear end,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,7,22,Saturday,At/near private drive,Thru lane,SMV unattended vehicle,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,10,15,Tuesday,At/near private drive,Thru lane,Other,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,11,13,Wednesday,At intersection,Within intersection,Angle,Daylight,Regional municipality,Traffic signal,Functioning,0,0,1,False,False,False,Rain,1
2017,10,11,13,Wednesday,At/near private drive,Not on roadway - right side,Angle,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Rain,0
